title,studio,domestic_gross,foreign_gross,year
Closed Circuit,Focus,5800000.0,,2013
Closed Curtain,Vari.,28100.0,,2014
Closet Monster,Strand,42200.0,,2016
Cloud Atlas,WB,27100000.0,103400000,2012
Clouds of Sils Maria,IFC,1900000.0,,2015
Cloudy with a Chance of Meatballs 2,Sony,119800000.0,154500000,2013
Clown,W/Dim.,55000.0,,2016
Club Life,Orch.,4400.0,,2015
Cock and Bull,CL,82800.0,,2016
Cocktail (2012),Eros,1200000.0,,2012
Coco,BV,209700000.0,597400000,2017
Coco Chanel & Igor Stravinsky,SPC,1600000.0,4099999,2010
Cold War (2018),Amazon,4600000.0,,2018
Cold War 2,WGUSA,561000.0,102600000,2016
Cold Weather,IFC,141000.0,,2011
Colette,BST,5100000.0,,2018
Collateral Beauty,WB (NL),31000000.0,57500000,2016
Collide,ORF,2300000.0,2500000,2017
Colombiana,TriS,36700000.0,24300000,2011
Colonia,Scre.,15700.0,,2016
Colossal,Neon,3000000.0,,2017
Come Undone (2010),FM,10000.0,31300,2010
Come What May,Cohen,37800.0,,2016
Coming Home (2015),SPC,378000.0,46400000,2015
Commitment,WGUSA,76500.0,4500000,2013
Compadres,PNT,3100000.0,,2016
Compliance,Magn.,319000.0,,2012
Conan the Barbarian (2011),LGF,21300000.0,27500000,2011
Concussion (2015),Sony,34500000.0,14100000,2015
Condorito: La Pelicula,LGF,448000.0,8000000,2018
Confidential Assignment,CJ,476000.0,55500000,2017
Contagion,WB,75700000.0,59800000,2011
Contraband,Uni.,66500000.0,29700000,2012
Conviction,FoxS,6800000.0,2900000,2010
Cop Out,WB,44900000.0,10700000,2010
Coriolanus,Wein.,757000.0,315000,2012
Corpo Celeste,FM,8900.0,,2012
Cosmopolis,EOne,764000.0,5300000,2012
Cosmos,KL,25300.0,,2016
Country Strong,SGem,20200000.0,310000,2010
Courageous,TriS,34500000.0,,2011
Court,Zeit.,22900.0,,2015
Cowboys & Aliens,Uni.,100200000.0,74600000,2011
Crazy Rich Asians,WB,174500000.0,64000000,2018
"Crazy, Stupid, Love.",WB,84400000.0,58500000,2011
Creation,NM,341000.0,555000,2010
Creed,WB (NL),109800000.0,63800000,2015
Creed II,MGM,115700000.0,98300000,2018
Criminal (2016),LG/S,14700000.0,24100000,2016
Crimson Peak,Uni.,31100000.0,43600000,2015
Cuban Fury,EOne,92400.0,,2014
Custody,KL,83900.0,,2018
Cyrus,FoxS,7500000.0,2500000,2010
DONGJU: The Portrait of a Poet,CJ,56600.0,,2016
Dabangg,Eros,1300000.0,1700000,2010
Dabangg 2,Eros,2500000.0,,2012
Daddy Longlegs,IFC,21800.0,11500,2010
Daddy's Home,Par.,150400000.0,92400000,2015
Daddy's Home 2,Par.,104000000.0,76600000,2017
Dallas Buyers Club,Focus,27300000.0,27900000,2013
Damsels in Distress,SPC,1000000.0,,2012
Dancer,IFC,71900.0,,2016
Dangal,UTV,12400000.0,290500000,2016
Danny Collins,BST,5600000.0,5200000,2015
Dark Horse,BM&DH,166000.0,,2012
Dark Horse (2016),SPC,941000.0,,2016
Dark Places,A24,209000.0,,2015
Dark Shadows,WB,79700000.0,165800000,2012
Dark Skies,W/Dim.,17400000.0,9000000,2013
Dark Tide,WHE,,432000,2012
Darkest Hour,Focus,56500000.0,94400000,2017
Darling Companion,SPC,794000.0,,2012
Date Night,Fox,98700000.0,53600000,2010
David Lynch: The Art Life,Jan.,171000.0,,2017
Dawn of the Planet of the Apes,Fox,208500000.0,502100000,2014
Daybreakers,LGF,30100000.0,21300000,2010
Dead Awake (2017),FR,11500.0,,2017
Dead Man Down,FD,10900000.0,7200000,2013
Deadfall (2012),Magn.,66400.0,,2012
Deadpool,Fox,363100000.0,420000000,2016
Deadpool 2,Fox,318500000.0,460500000,2018
Dear John,SGem,80000000.0,35000000,2010
Dear White People,RAtt.,4400000.0,,2014
Dear Zindagi,Relbig.,2400000.0,,2016
Death Wish (2018),MGM,34000000.0,,2018
Death at a Funeral (2010),SGem,42700000.0,6300000,2010
Death of a Superhero,Trib.,600.0,,2012
Declaration of War,IFC,59100.0,5800000,2012
Decoding Annie Parker,EOne,48400.0,,2014
Deepwater Horizon,LG/S,61400000.0,60400000,2016
Delhi Belly,UTV,1500000.0,15200000,2011
Delicacy,Cohen,499000.0,9200000,2012
Deliver Us From Evil,SGem,30600000.0,57400000,2014
Delivery Man,BV,30700000.0,19300000,2013
Demolition,FoxS,2000000.0,,2016
Den of Thieves,STX,44900000.0,35600000,2018
Denial,BST,4099999.0,,2016
Desert Dancer,Rela.,155000.0,,2015
Desert Flower,NGE,44300.0,14600000,2011
Desi Boyz,Eros,1100000.0,,2011
Desierto,STX,2000000.0,1000000,2016
Despicable Me,Uni.,251500000.0,291600000,2010
Despicable Me 2,Uni.,368100000.0,602700000,2013
Despicable Me 3,Uni.,264600000.0,770200000,2017
Destroyer,Annapurna,1500000.0,4000000,2018
Detachment,Trib.,72700.0,,2012
Detective Byomkesh Bakshy,Yash,579000.0,,2015
Detective Chinatown (Tang ren jie tan an),CL,474000.0,125400000,2016
Detective Chinatown 2,WB,2000000.0,542100000,2018
Detective Dee and the Mystery of the Phantom Flame,IM,460000.0,51300000,2011
Detective K: Secret of the Living Dead,WGUSA,104000.0,18500000,2018
Detective K: Secret of the Lost Island,CJ,185000.0,,2015
Detroit,Annapurna,16800000.0,,2017
Devil,Uni.,33600000.0,29100000,2010
Devil and Angel (E Gun Tian Shi),CL,131000.0,98500000,2015
Devil's Due,Fox,15800000.0,21100000,2014
Dheepan,IFC,262000.0,,2016
Dhobi Ghat (Mumbai Diaries),UTV,577000.0,102000,2011
Dhoom 3,Yash,8000000.0,80000000,2013
Diana,EOne,335000.0,21400000,2013
Diana Vreeland: The Eye Has to Travel,Gold.,1000000.0,,2012
Diary of a Chambermaid,Cohen,54200.0,,2016
Diary of a Wimpy Kid,Fox,64000000.0,11700000,2010
Diary of a Wimpy Kid: Dog Days,Fox,49000000.0,28100000,2012
Diary of a Wimpy Kid: Rodrick Rules,Fox,52700000.0,19700000,2011
Diary of a Wimpy Kid: The Long Haul,Fox,20700000.0,19400000,2017
Difret,TA,49700.0,,2015
Dil Dhadakne Do,Eros,3100000.0,,2015
Dilwale,UTV,4900000.0,,2015
Dinner for Schmucks,P/DW,73000000.0,13800000,2010
Dior and I,Orch.,1000000.0,,2015
Diplomacy,Zeit.,231000.0,3700000,2014
Dirty Girl,Wein.,55100.0,,2011
Dirty Grandpa,LGF,35600000.0,58500000,2016
Disconnect,LD,1400000.0,,2013
Dishoom,Eros,813000.0,,2016
Disney's Christopher Robin,BV,99200000.0,98500000,2018
Disobedience,BST,3500000.0,4400000,2018
Disorder,IFC,51900.0,,2016
District B13: Ultimatum,Magn.,36100.0,16200,2010
Divergent,LG/S,150900000.0,137900000,2014
Django Unchained,Wein.,162800000.0,262600000,2012
Do I Sound Gay?,IFC,119000.0,,2015
Do You Believe?,PFR,13000000.0,1400000,2015
Doctor Strange,BV,232600000.0,445100000,2016
Dogtooth,Kino,110000.0,274000,2010
Dolphin Tale,WB,72300000.0,23100000,2011
Dolphin Tale 2,WB,42000000.0,15800000,2014
Dom Hemingway,FoxS,524000.0,,2014
Don 2,Relbig.,3700000.0,,2011
Don Jon,Rela.,24500000.0,6000000,2013
Don't Be Afraid of the Dark,FD,24000000.0,12900000,2011
Don't Breathe,SGem,89200000.0,67900000,2016
Don't Call Me Son,Zeit.,11700.0,,2016
Don't Worry He Won't Get Far on Foot,Amazon,1400000.0,2500000,2018
Dope,ORF,17500000.0,480000,2015
Double Dhamaal,Relbig.,544000.0,,2011
Double Lover,Cohen,168000.0,,2018
Double Trouble,CL,44800.0,,2012
Dough,Men.,1100000.0,,2016
Down By Love,Distrib.,700.0,,2016
Downsizing,Par.,24400000.0,30600000,2017
Dr. Seuss' The Grinch (2018),Uni.,270600000.0,241000000,2018
Dr. Seuss' The Lorax,Uni.,214000000.0,134800000,2012
Dracula Untold,Uni.,56300000.0,160800000,2014
Draft Day,LG/S,28800000.0,620000,2014
Dragon (2012),RTWC,11100.0,29100000,2012
Dragon Ball Z: Battle of Gods,SV,2600000.0,47800000,2014
Dragon Ball Z: Resurrection 'F',FUN,8000000.0,53800000,2015
Dragon Blade,LGP,74100.0,121500000,2015
Dream House,Uni.,21300000.0,17200000,2011
Dreams of a Life,Strand,8400.0,,2012
Dredd,LGF,13400000.0,22200000,2012
Drive (2011),FD,35100000.0,41100000,2011
Drive Angry,Sum.,10700000.0,18200000,2011
Drug War,Vari.,128000.0,,2013
Duckweed,CL,472000.0,150600000,2017
Due Date,WB,100500000.0,111200000,2010
Dum Maaro Dum,FoxS,564000.0,,2011
Dumb and Dumber To,Uni.,86200000.0,83600000,2014
Dunkirk,WB,188000000.0,337200000,2017
Dylan Dog: Dead of Night,OMNI/FSR,1200000.0,3400000,2011
Eames: The Architect and the Painter,FRun,153000.0,,2011
Early Man,LGF,8300000.0,46400000,2018
Earth to Echo,Rela.,38900000.0,6400000,2014
Earth: One Amazing Day,BBC,81300.0,11600000,2017
Eastern Boys,FRun,16800.0,,2015
Easy A,SGem,58400000.0,16600000,2010
Easy Money (2012),Wein.,206000.0,8199999,2012
Eat Pray Love,Sony,80600000.0,124000000,2010
Eddie the Eagle,Fox,15800000.0,30400000,2016
Eden,BG,65500.0,,2015
Edge of Darkness,WB,43300000.0,37800000,2010
Edge of Tomorrow,WB,100200000.0,270300000,2014
Edward II (2018 re-release),FM,4800.0,,2018
Effie Gray,AF,353000.0,,2015
Eisenstein in Guanajuato,Strand,34300.0,,2016
Ek Main Aur Ekk Tu,UTV,1200000.0,,2012
Ek Tha Tiger,Yash,2300000.0,,2012
Ek Thi Daayan,Eros,112000.0,,2013
Ek Villain,Eros,731000.0,,2014
El Bulli: Cooking in Progress,AM,237000.0,,2011
El Clan,FIP,201000.0,20200000,2016
El Jeremias,Sony,650000.0,1900000,2016
El Pacto,Sony,2500.0,,2018
Elena,Zeit.,233000.0,,2012
Elite Squad: The Enemy Within,Vari.,100000.0,62900000,2011
Elle,SPC,2300000.0,,2016
Elles,KL,158000.0,754000,2012
Elliot: The Littlest Reindeer,Scre.,24300.0,,2018
Elsa & Fred (2014),MNE,286000.0,,2014
Elvis & Nixon,BST,1100000.0,,2016
Elysium,TriS,93100000.0,193100000,2013
Embrace of the Serpent,Osci.,1300000.0,,2016
Embrace: The Documentary,Gathr,629000.0,,2016
Emily (2017),Hiber,3600.0,,2017
Emperor,RAtt.,3300000.0,,2013
Empire of Lust,CJ,10700.0,,2015
Empire of Silver,NeoC,,19000,2011
Empty Hours,Strand,8200.0,,2014
End of Watch,ORF,41000000.0,7100000,2012
Ender's Game,LG/S,61700000.0,63800000,2013
Endless Love (2014),Uni.,23400000.0,11300000,2014
Enemies of the People,ICir,73200.0,6400,2010
Enemy,A24,1000000.0,2400000,2014
English Vinglish,Eros,1900000.0,,2012
Enough Said,FoxS,17600000.0,7700000,2013
Enter the Void,IFC,336000.0,418000,2010
Entourage,WB,32400000.0,16900000,2015
Epic,Fox,107500000.0,160900000,2013
Equals,A24,33300.0,2100000,2016
Ernest & Celestine,GK,262000.0,4800000,2014
Escape From Planet Earth,Wein.,57000000.0,17600000,2013
Escape Plan,LG/S,25100000.0,112200000,2013
Escobar: Paradise Lost,RTWC,196000.0,3600000,2015
Eva,Wein.,16700.0,,2015
Evangelion 2.0: You Can (Not) Advance,Elev.,134000.0,41000000,2011
Evangelion: 3.0 You Can (Not) Redo,Elev.,175000.0,60300000,2014
Even the Rain,Vita.,518000.0,5300000,2011
Everest (2015),Uni.,43500000.0,159900000,2015
Every Day (2018),Orion,6100000.0,,2018
Every Secret Thing,SM,104000.0,,2015
Every Thing Will be Fine,IFC,9200.0,,2015
Everybody Loves Somebody,PNT,1900000.0,,2017
Everybody Wants Some!!,Par.,3400000.0,,2016
Everything Must Go,RAtt.,2700000.0,,2011
"Everything, Everything",WB,34100000.0,27500000,2017
Evil Dead (2013),TriS,54200000.0,43300000,2013
Evolution,IFC,24800.0,,2016
Ex Machina,A24,25400000.0,11400000,2015
Exit Through the Gift Shop,PDA,3300000.0,2000000,2010
Exodus: Gods and Kings,Fox,65000000.0,203200000,2014
Experimenter,Magn.,156000.0,,2015
Explosion,CL,123000.0,,2017
Extraction,LGP,16800.0,,2015
Extraordinary Measures,CBS,12100000.0,3100000,2010
Extraordinary Mission,Crimson,54200.0,,2017
Extremely Loud & Incredibly Close,WB,31800000.0,23400000,2011
Eye in the Sky,BST,18700000.0,,2016
Eyes Wide Open,NAV,26300.0,250000,2010
Fabricated City,CJ,105000.0,,2017
Faces Places,Cohen,954000.0,,2017
Fading Gigolo,MNE,3800000.0,9600000,2014
Fair Game (2010),Sum.,9500000.0,14600000,2010
Fairy Tail: Dragon Cry,FUN,519000.0,,2017
Falcon Rising,Free,11800.0,,2014
Fall in Love Like a Star,CL,213000.0,,2015
Fan,Yash,2300000.0,25900000,2016
Fantastic Beasts and Where To Find Them,WB,234000000.0,580000000,2016
Fantastic Beasts: The Crimes of Grindelwald,WB,159600000.0,494100000,2018
Fantastic Four,Fox,56100000.0,111900000,2015
Far from Men,Trib.,5300.0,,2015
Far from the Madding Crowd,FoxS,12200000.0,18000000,2015
Farewell My Queen,Cohen,1600000.0,3700000,2012
Fast & Furious 6,Uni.,238700000.0,550000000,2013
Fast Five,Uni.,209800000.0,416300000,2011
Faster,CBS,23200000.0,12400000,2010
Fate/Stay Night: Heaven's Feel - I. Presage Flower,Fathom,194000.0,,2018
Father Figures,WB,17500000.0,8100000,2017
Father of My Children,IFC,144000.0,335000,2010
Fatima,KL,50100.0,,2016
Fed Up,RTWC,1500000.0,,2014
Felicite,Strand,12400.0,,2017
Fences,Par.,57700000.0,6700000,2016
Ferdinand,Fox,84400000.0,211700000,2017
Ferrari Ki Sawaari,Eros,434000.0,,2012
Fetih 1453: The Conquest of Constantinople,NeoC,35700.0,34400000,2012
Fidelio: Alice's Odyssey,FRun,3600.0,,2015
Fifty Shades Darker,Uni.,114600000.0,267000000,2017
Fifty Shades Freed,Uni.,100400000.0,271500000,2018
Fifty Shades of Black,ORF,11700000.0,10500000,2016
Fifty Shades of Grey,Uni.,166200000.0,404800000,2015
Fill the Void,SPC,1800000.0,,2013
Film Socialisme,Lorb.,33000.0,159000,2011
Film Stars Don't Die in Liverpool,SPC,1000000.0,,2017
Filth,Magn.,34400.0,8300000,2014
Final Destination 5,WB (NL),42600000.0,115300000,2011
Final Portrait,SPC,462000.0,,2018
Finding Dory,BV,486300000.0,542300000,2016
Finding Fanny,FIP,616000.0,7100000,2014
Finding Mr. Right,CL,6900.0,,2013
Finding Mr. Right 2,CL,,114700000,2016
Finding Nemo (3D),BV,41100000.0,28200000,2012
Finding Vivian Maier,IFC,1500000.0,,2014
Finding Your Feet,RAtt.,1400000.0,,2018
Fire at Sea,KL,121000.0,,2016
Fireflies in the Garden,,70600.0,3300000,2011
Fireworks (2018),GK,525000.0,,2018
Fireworks Wednesday,Ghop,90500.0,,2016
First Man,Uni.,44900000.0,60800000,2018
First Position,IFC,1000000.0,,2012
Fish Tank,IFC,375000.0,2000000,2010
Fist Fight,WB (NL),32200000.0,8900000,2017
Fists of Legend,CJ,134000.0,5300000,2013
Fitoor,UTV,529000.0,,2016
Flatliners (2017),Sony,16900000.0,28300000,2017
Flight,Par.,93800000.0,68000000,2012
Flipped,WB,1800000.0,,2010
Florence Foster Jenkins,Par.,27400000.0,21500000,2016
Flowers,MBox,61600.0,,2015
Flying Monsters,NGE,5700000.0,5100000,2011
Flying Swords of Dragon Gate,IM,170000.0,,2012
Flypaper,IFC,5000.0,3100000,2011
Focus (2015),WB,53900000.0,105200000,2015
Footloose (2011),Par.,51800000.0,11700000,2011
Footnote,SPC,2000000.0,,2012
For Colored Girls,LGF,37700000.0,17300,2010
For Greater Glory,ArcEnt,5700000.0,4000000,2012
For No Good Reason,SPC,67400.0,,2014
For a Few Bullets,CL,30100.0,,2016
"For a Good Time, Call...",Focus,1300000.0,,2012
For a Woman,FM,32299.0,1200000,2014
Force,FoxS,,4800000,2011
Force Majeure,Magn.,1400000.0,,2014
Forever Young (2015),CL,150000.0,,2015
Forgiveness of Blood,IFC,127000.0,,2012
Formosa Betrayed,Scre.,225000.0,101000,2010
Four Lions,Drft.,305000.0,4400000,2010
Foxcatcher,SPC,12100000.0,,2014
Foxtrot,SPC,619000.0,,2018
Frances Ha,IFC,4099999.0,,2013
Francofonia,MBox,307000.0,,2016
Frank,Magn.,645000.0,,2014
Frank Miller's Sin City: A Dame to Kill For,W/Dim.,13800000.0,25600000,2014
Frankenweenie,BV,35300000.0,46200000,2012
Frantz,MBox,881000.0,,2017
Freakonomics,Magn.,101000.0,16400,2010
Free Birds,Rela.,55800000.0,54600000,2013
Free Fire,A24,1800000.0,,2017
Free Men,FM,53800.0,564000,2012
Free Solo,NGE,17500000.0,,2018
Free State of Jones,STX,20800000.0,4200000,2016
Freeheld,LGF,573000.0,,2015
French Gigolo (Cliente),IFC,3000.0,6000000,2014
Friend Request,ENTMP,3800000.0,,2017
Friends with Benefits,SGem,55800000.0,93700000,2011
Friends with Kids,RAtt.,7300000.0,5800000,2012
Fright Night (2011),BV,18300000.0,22700000,2011
From Afar,Strand,30200.0,,2016
From Paris with Love,LGF,24100000.0,28700000,2010
From Prada to Nada,LGF,3000000.0,123000,2011
From Up on Poppy Hill,GK,1000000.0,60000000,2013
From the Land of the Moon,IFC,47700.0,6500000,2017
Frozen,BV,400700000.0,875700000,2013
Frozen (2010),Anch.,246000.0,2900000,2010
Fruitvale Station,Wein.,16100000.0,1300000,2013
Fun Size,Par.,9400000.0,2000000,2012
Furious (Legend of Kolovrat),CARUSEL,10000.0,,2018
Furious 7,Uni.,353000000.0,"1,163.0",2015
Furry Vengeance,Sum.,17600000.0,18600000,2010
Fury (2014),Sony,85800000.0,126000000,2014
G.I. Joe: Retaliation,Par.,122500000.0,253200000,2013
Gabbar is Back,Eros,535000.0,,2015
Gabriel and the Mountain,Strand,18400.0,,2018
Gabrielle (2014),EOne,5500.0,222000,2014
Gainsbourg: A Heroic Life,MBox,233000.0,12000000,2011
Game (2011),Eros,140000.0,,2011
Game Night,WB (NL),69200000.0,48500000,2018
Gangnam 1970,CJ,18000.0,,2015
Gangster Squad,WB,46000000.0,59200000,2013
GasLand,WOW,30800.0,18600,2010
Gauguin: Voyage to Tahiti,Cohen,200000.0,3100000,2018
Gemma Bovery,MBox,192000.0,,2015
Generation Iron,TVC,850000.0,,2013
Genius,RAtt.,1400000.0,4300000,2016
Gentleman,Gaatri,898000.0,,2016
George A. Romero's Survival of the Dead,Magn.,102000.0,41500,2010
Geostorm,WB,33700000.0,187900000,2017
Gerhard Richter Painting,KL,243000.0,,2012
Get Hard,WB,90400000.0,21400000,2015
Get Him to the Greek,Uni.,61000000.0,30300000,2010
Get Low,SPC,9200000.0,518000,2010
Get On Up,Uni.,30700000.0,2700000,2014
Get Out,Uni.,176000000.0,79400000,2017
Gett: The Trial of Viviane Amsalem,MBox,988000.0,,2015
Ghanchakkar,UTV,203000.0,,2013
Ghost Rider: Spirit of Vengeance,Sony,51800000.0,80800000,2012
Ghost Stories,IFC,149000.0,,2018
Ghost in the Shell (2017),Par.,40600000.0,129199999,2017
Ghost in the Shell: The New Movie,FUN,101000.0,,2015
Ghostbusters (2016),Sony,128400000.0,100800000,2016
Gifted,FoxS,24800000.0,18200000,2017
Ginger & Rosa,A24,1000000.0,,2013
Girl Most Likely,RAtt.,1400000.0,,2013
Girl in Progress,LGF,2600000.0,2000000,2012
Girl on a Bicycle,Mont.,91400.0,,2014
Girlfriend Boyfriend - GF BF,CL,64400.0,,2012
Girlhood (2015),Strand,60800.0,,2015
Girls Trip,Uni.,115200000.0,25400000,2017
Girls vs Gangsters,WGUSA,37100.0,,2018
Gladiators of Rome,VPD,8200.0,10100000,2014
Glee The 3D Concert Movie,Fox,11900000.0,6800000,2011
Gloria (2014),RAtt.,2100000.0,,2014
Glory (2017),FM,18400.0,,2017
Gnomeo and Juliet,BV,100000000.0,94000000,2011
Go Away Mr. Tumor,CL,287000.0,21500000,2015
Go Goa Gone,Eros,298000.0,,2013
God Bless America,Magn.,123000.0,,2012
God Help the Girl,Ampl.,103000.0,,2014
God's Not Dead,Free,60800000.0,3900000,2014
God's Not Dead 2,PFR,20800000.0,3700000,2016
God's Own Country,Orion,336000.0,,2017
God's Pocket,IFC,170000.0,,2014
Godard Mon Amour,Cohen,82300.0,,2018
Gods of Egypt,LG/S,31200000.0,119500000,2016
Godzilla (2014),WB,200700000.0,328400000,2014
Going in Style (2017),WB (NL),45000000.0,39900000,2017
Going the Distance,WB (NL),17800000.0,24200000,2010
Gold,Wein.,7200000.0,7700000,2017
Golden Slumber,CJ,94500.0,10600000,2018
Golmaal 3,Eros,1100000.0,935000,2010
Gone,LG/S,11700000.0,6400000,2012
Gone Girl,Fox,167800000.0,201600000,2014
Gonjiam: Haunted Asylum,WGUSA,115000.0,,2018
Good Kill,IFC,316000.0,,2015
Good Time,A24,2000000.0,,2017
Goodbye First Love,IFC,95000.0,,2012
Goodbye Mr. Loser,CL,1300000.0,226800000,2015
Goodbye to Language,KL,390000.0,,2014
Goodnight Mommy,RTWC,1200000.0,,2015
Goon,Magn.,4200000.0,2300000,2012
Goosebumps,Sony,80100000.0,70100000,2015
Goosebumps 2: Haunted Halloween,Sony,46700000.0,46600000,2018
Gori Tere Pyaar Mein,Relbig.,342000.0,,2013
Gotti,VE,4300000.0,,2018
Graduation,IFC,176000.0,,2017
Grand Masti,Eros,414000.0,,2013
Grandma (2015),SPC,7000000.0,107000,2015
Grassroots,Gold.,12400.0,,2012
Gravity,WB,274100000.0,449100000,2013
Grease (Sing-a-Long re-issue),Par.,366000.0,,2010
Great Expectations (2013),MSF,259000.0,,2013
Green Book,Uni.,85100000.0,234700000,2018
Green Lantern,WB,116600000.0,103300000,2011
Green Room,A24,3200000.0,,2016
Green Zone,Uni.,35100000.0,59800000,2010
Greenberg,Focus,4200000.0,1900000,2010
Gringo,STX,5000000.0,6000000,2018
Grown Ups,Sony,162000000.0,109400000,2010
Grown Ups 2,Sony,133699999.0,113300000,2013
Grudge Match,WB,29800000.0,15100000,2013
Guardian Angel,RME,19500.0,,2014
Guardians of the Galaxy,BV,333200000.0,440200000,2014
Guardians of the Galaxy Vol. 2,BV,389800000.0,473900000,2017
Gueros,KL,60100.0,,2015
Gulliver's Travels,Fox,42800000.0,194600000,2010
Guzaarish,UTV,1000000.0,695000,2010
Hacksaw Ridge,LGF,67200000.0,108100000,2016
Hadewijch,IFC,5000.0,57500,2010
Haider,UTV,1000000.0,,2014
"Hail, Caesar!",Uni.,30500000.0,33100000,2016
Half of a Yellow Sun,Mont.,54500.0,,2014
Hall Pass,WB (NL),45100000.0,38100000,2011
Halloween (2018),Uni.,159300000.0,96100000,2018
Hamari Adhuri Kahani,FIP,235000.0,4200000,2015
Hands of Stone,Wein.,4700000.0,,2016
Hanna,Focus,40300000.0,23500000,2011
Hannah (2018),PDF,11700.0,,2018
Hannah Arendt,Zeit.,717000.0,,2013
Hansel and Gretel: Witch Hunters,Par.,55700000.0,170600000,2013
Happy Bhaag Jayegi,Eros,352000.0,,2016
Happy Death Day,Uni.,55700000.0,69800000,2017
Happy End,SPC,302000.0,,2017
Happy Ending,Eros,314000.0,,2014
Happy Feet Two,WB,64000000.0,86400000,2011
Happy Phirr Bhag Jayegi,Eros,103000.0,,2018
"Happy, Happy",Magn.,45200.0,,2011
HappyThankYouMorePlease,Anch.,216000.0,,2011
Hara-Kiri: Death of a Samurai,Trib.,75700.0,3400000,2012
Hardcore Henry,STX,9300000.0,7600000,2016
Harry & Snowman,FR,561000.0,,2016
Harry Brown,Gold.,1800000.0,8500000,2010
Harry Potter and the Deathly Hallows Part 1,WB,296000000.0,664300000,2010
Harry Potter and the Deathly Hallows Part 2,WB,381000000.0,960500000,2011
Hasee Toh Phasee,Relbig.,646000.0,,2014
Hatchet 2,Vita.,52600.0,,2010
Hateship Loveship,IFC,54000.0,,2014
Haute Cuisine,Wein.,218000.0,11200000,2013
Haywire,Rela.,18900000.0,14400000,2012
Hazlo Como Hombre (Do It Like An Hombre),PNT,2500000.0,,2017
He Named Me Malala,FoxS,2700000.0,97100,2015
Headhunters,Magn.,1200000.0,14500000,2012
Heart of a Dog,Abr.,421000.0,,2015
Heartbeats,IFC,68700.0,520000,2011
Heartbreaker,IFC,504000.0,46900000,2010
Heaven Knows What,RTWC,80700.0,,2015
Heaven is for Real,TriS,91400000.0,9900000,2014
Hector And The Search For Happiness,Rela.,1100000.0,,2014
Heist (2015),LGP,50100.0,,2015
Helicopter Eela,Eros,72000.0,,2018
Hell Fest,LGF,11100000.0,7100000,2018
Hell and Back Again,DF,40600.0,,2011
Hell or High Water,LGF,27000000.0,10900000,2016
Hello I Must Be Going,Osci.,107000.0,,2012
"Hello, My Name is Doris",RAtt.,14400000.0,,2016
Heneral Luna,Abr.,206000.0,,2015
Henry's Crime,MPFT,103000.0,102000,2011
Her (2013),WB,25600000.0,21800000,2013
Hercules (2014),Par.,72700000.0,172100000,2014
Here (2012),Strand,26700.0,,2012
Here Comes the Boom,Sony,45300000.0,27800000,2012
Hereafter,WB,32700000.0,72500000,2010
Hereditary,A24,44100000.0,35300000,2018
Hermano,MBox,29900.0,1600000,2012
Hero (2015),Eros,88700.0,,2015
Heroine,UTV,599000.0,7400000,2012
Heropanti,UTV,63600.0,,2014
Hesher,WHE,383000.0,,2011
Hichki,Yash,330000.0,3900000,2018
Hidden Figures,Fox,169600000.0,66300000,2016
Hideaway (Le Refuge),Strand,34500.0,837000,2010
High School,Anch.,139000.0,,2012
High Strung (2016),Pala.,53400.0,,2016
High-Rise,Magn.,346000.0,,2016
Higher Ground,SPC,842000.0,,2011
Highway (2014),UTV,529000.0,,2014
Hillsong - Let Hope Rise,PFR,2400000.0,255000,2016
Himmatwala,UTV,271000.0,,2013
"Hippocrates, Diary of a French Doctor",Distrib.,23100.0,,2015
Hit So Hard,Vari.,34000.0,,2012
Hit and Run,ORF,13700000.0,704000,2012
Hitchcock,FoxS,6000000.0,17600000,2012
Hitchcock/Truffaut,Cohen,260000.0,,2015
Hitman: Agent 47,Fox,22500000.0,59900000,2015
Hobo With a Shotgun,Magn.,703000.0,,2011
Hockney,FM,121000.0,,2016
Holiday (2014),Relbig.,707000.0,,2014
Holmes and Watson,Sony,30600000.0,9900000,2018
Holy Motors,IM,641000.0,,2012
Holy Rollers,FInd.,303000.0,305000,2010
Home (2015),Fox,177400000.0,208600000,2015
Home Again,ORF,27000000.0,,2017
Homefront,ORF,20200000.0,22900000,2013
Hoodwinked Too! Hood vs. Evil,Wein.,10100000.0,6800000,2011
Hop,Uni.,108100000.0,75900000,2011
Hope Springs,Sony,63500000.0,50700000,2012
Horns,RTWC,174000.0,3700000,2014
Horrible Bosses,WB (NL),117500000.0,92100000,2011
Horrible Bosses 2,WB,54400000.0,53200000,2014
Horses of God,KL,14800.0,,2014
Hostiles,ENTMP,29800000.0,,2017
Hot Pursuit,WB (NL),34600000.0,17100000,2015
Hot Tub Time Machine,MGM,50300000.0,14300000,2010
Hot Tub Time Machine 2,Par.,12300000.0,767000,2015
Hotel Artemis,Global Road,6700000.0,6000000,2018
Hotel Transylvania,Sony,148300000.0,210100000,2012
Hotel Transylvania 2,Sony,169700000.0,305100000,2015
Hotel Transylvania 3: Summer Vacation,Sony,167500000.0,361100000,2018
House at the End of The Street,Rela.,31600000.0,12700000,2012
Housefull,Eros,1200000.0,1200000,2010
Housefull 2,Eros,1800000.0,,2012
Housefull 3,Eros,1300000.0,,2016
How Do You Know,Sony,30200000.0,18500000,2010
How I Ended This Summer,FM,8700.0,614000,2011
